iid,i_year,i_Action,i_Adventure,i_Animation,i_Children's,i_Comedy,i_Crime,i_Documentary ,i_Drama ,i_Fantasy ,i_Film-Noir ,i_Horror ,i_Musical ,i_Mystery ,i_Romance ,i_Sci-Fi ,i_Thriller ,i_War ,i_Western,i_Other,i_Actor,i_Director
1,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118
2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,2
4,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,6
5,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,16,7
6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,8
7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24,9
8,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3556,1118
9,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,11
10,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,37,12
11,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,40,13
12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,41,14
13,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,15
14,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,51,17
15,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,18
16,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,58,1118
17,6,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,62,3
18,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3556,1118
19,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71,21
20,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,75,1118
21,6,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,78,1118
22,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,82,25
23,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,86,26
24,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,27
25,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28
26,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98,29
27,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,30
28,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,106,31
29,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,108,32
30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,112,33
31,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,12,34
32,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3556,1118
33,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,3
34,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,124,36
35,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,127,37
36,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,130,38
37,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,135,1118
38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,138,1118
39,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,64,1118
40,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,147,42
41,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149,43
42,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,44
43,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,158,45
44,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,161,46
45,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,165,47
46,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,172,48
47,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,173,49
48,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3556,50
49,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,178,51
50,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3556,1118
51,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,181,52
52,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,185,53
53,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,188,54
54,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,40,55
55,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,192,56
56,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,196,2
57,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,198,38
58,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,57
59,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3556,1118
60,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3556,1118
61,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3556,1118
62,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,204,58
63,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59
64,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1118
65,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,173,61
66,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,138,62
67,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,63
68,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,224,64
69,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,65
70,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,228,66
71,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,234,1118
72,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,110,69
73,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,82,70
74,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3556,1118
75,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3556,1118
76,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,245,74
77,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,75
78,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,127,76
79,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,252,77
80,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,255,1118
